,start_time,end_time,data_type,originDataSourceId,heart_rate
34,2022-12-09T16:50:44,2022-12-09T16:50:44,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,98
35,2022-12-09T16:50:45,2022-12-09T16:50:45,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,98
36,2022-12-09T16:50:46,2022-12-09T16:50:46,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
37,2022-12-09T16:50:47,2022-12-09T16:50:47,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
38,2022-12-09T16:50:48,2022-12-09T16:50:48,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
39,2022-12-09T16:50:49,2022-12-09T16:50:49,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
40,2022-12-09T16:50:50,2022-12-09T16:50:50,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
41,2022-12-09T16:50:51,2022-12-09T16:50:51,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,98
42,2022-12-09T16:50:52,2022-12-09T16:50:52,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,97
43,2022-12-09T16:50:53,2022-12-09T16:50:53,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,98
44,2022-12-09T16:50:54,2022-12-09T16:50:54,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,97
45,2022-12-09T16:50:55,2022-12-09T16:50:55,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,98
46,2022-12-09T16:50:56,2022-12-09T16:50:56,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
47,2022-12-09T16:50:57,2022-12-09T16:50:57,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
48,2022-12-09T16:50:58,2022-12-09T16:50:58,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
49,2022-12-09T16:50:59,2022-12-09T16:50:59,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
50,2022-12-09T16:51:00,2022-12-09T16:51:00,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
51,2022-12-09T16:51:01,2022-12-09T16:51:01,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
52,2022-12-09T16:51:02,2022-12-09T16:51:02,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
53,2022-12-09T16:51:03,2022-12-09T16:51:03,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
54,2022-12-09T16:51:04,2022-12-09T16:51:04,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
55,2022-12-09T16:51:05,2022-12-09T16:51:05,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
56,2022-12-09T16:51:06,2022-12-09T16:51:06,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
57,2022-12-09T16:51:07,2022-12-09T16:51:07,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
58,2022-12-09T16:51:08,2022-12-09T16:51:08,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
59,2022-12-09T16:51:09,2022-12-09T16:51:09,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,101
60,2022-12-09T16:51:10,2022-12-09T16:51:10,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
61,2022-12-09T16:51:11,2022-12-09T16:51:11,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
62,2022-12-09T16:51:12,2022-12-09T16:51:12,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
63,2022-12-09T16:51:13,2022-12-09T16:51:13,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,101
64,2022-12-09T16:51:14,2022-12-09T16:51:14,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
65,2022-12-09T16:51:15,2022-12-09T16:51:15,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
66,2022-12-09T16:51:16,2022-12-09T16:51:16,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,99
67,2022-12-09T16:51:17,2022-12-09T16:51:17,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
68,2022-12-09T16:51:18,2022-12-09T16:51:18,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
69,2022-12-09T16:51:19,2022-12-09T16:51:19,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,100
70,2022-12-09T16:51:20,2022-12-09T16:51:20,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,101
71,2022-12-09T16:51:21,2022-12-09T16:51:21,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,101
72,2022-12-09T16:51:22,2022-12-09T16:51:22,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
73,2022-12-09T16:51:23,2022-12-09T16:51:23,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
74,2022-12-09T16:51:24,2022-12-09T16:51:24,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
75,2022-12-09T16:51:25,2022-12-09T16:51:25,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
76,2022-12-09T16:51:26,2022-12-09T16:51:26,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
77,2022-12-09T16:51:27,2022-12-09T16:51:27,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
78,2022-12-09T16:51:28,2022-12-09T16:51:28,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
79,2022-12-09T16:51:29,2022-12-09T16:51:29,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,101
80,2022-12-09T16:51:30,2022-12-09T16:51:30,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
81,2022-12-09T16:51:31,2022-12-09T16:51:31,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
82,2022-12-09T16:51:32,2022-12-09T16:51:32,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
83,2022-12-09T16:51:33,2022-12-09T16:51:33,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
84,2022-12-09T16:51:34,2022-12-09T16:51:34,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
85,2022-12-09T16:51:35,2022-12-09T16:51:35,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
86,2022-12-09T16:51:36,2022-12-09T16:51:36,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
87,2022-12-09T16:51:37,2022-12-09T16:51:37,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
88,2022-12-09T16:51:38,2022-12-09T16:51:38,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,105
89,2022-12-09T16:51:39,2022-12-09T16:51:39,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,107
90,2022-12-09T16:51:40,2022-12-09T16:51:40,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,108
91,2022-12-09T16:51:41,2022-12-09T16:51:41,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,109
92,2022-12-09T16:51:42,2022-12-09T16:51:42,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,111
